regID;year;population
21;1999;1338819
21;2000;1334219
21;2001;1327743
21;2002;1319498
21;2003;1311737
21;2004;1301632
21;2005;1291065
21;2006;1278903
21;2007;1268614
21;2008;1263016
21;2009;1258239
21;2010;1255852
21;2011;1250518
21;2012;1247012
21;2013;1243431
21;2014;1239984
21;2015;1238071
21;2016;1236628
21;2017;1235863
21;2018;1231117
21;2019;1223395
22;1926;2479000
22;1959;2526104
22;1970;2502000
22;1979;2502779
22;1989;2630656
22;1990;2640419
22;1991;2653818
22;1992;2664886
22;1993;2680334
22;1994;2684297
22;1995;2694271
22;1996;2688035
22;1997;2676677
22;1998;2670454
22;1999;2662738
22;2000;2651628
22;2001;2641079
22;2002;2621050
22;2003;2602595
22;2004;2571987
22;2005;2539430
22;2006;2503510
22;2007;2473024
22;2008;2453455
22;2009;2438910
22;2010;2430765
22;2011;2417358
22;2012;2407230
22;2013;2398751
22;2014;2390638
22;2015;2384812
22;2016;2376774
22;2017;2365680
22;2018;2350080
22;2019;2332813
23;1926;2934000
23;1959;3477809
23;1970;4124163
23;1979;4410331
23;1989;4680560
23;1990;4638102
23;1991;4690810
23;1992;4763741
23;1993;4864010
23;1994;4940794
23;1995;5020837
23;1996;5076003
23;1997;5114523
23;1998;5128485
23;1999;5130451
23;2000;5133449
23;2001;5132798
23;2002;5131618
23;2003;5119857
23;2004;5114905
23;2005;5118903
23;2006;5127251
23;2007;5142911
23;2008;5170686
23;2009;5194439
23;2010;5214222
23;2011;5229998
23;2012;5284464
23;2013;5330181
23;2014;5404273
23;2015;5453329
23;2016;5513804
23;2017;5570945
23;2018;5603420
23;2019;5648235
24;1926;1305000
24;1959;2204051
24;1970;2516167
24;1979;2697474
24;1989;3027655
24;1990;3155929
24;1991;3163370
24;1992;3164219
24;1993;3160594
24;1994;3139464
24;1995;3113809
24;1996;3099424
24;1997;3085791
24;1998;3067863
24;1999;3048716
24;2000;3022092
24;2001;3000891
24;2002;2981746
24;2003;2961871
24;2004;2931905
24;2005;2901930
24;2006;2869315
24;2007;2845425
24;2008;2837013
24;2009;2832591
24;2010;2832854
24;2011;2829105
24;2012;2838396
24;2013;2846475
24;2014;2852810
24;2015;2858773
24;2016;2866490
24;2017;2875301
24;2018;2876497
24;2019;2874026
25;1926;637000
25;1959;1381018
25;1970;1721285
25;1979;1977779
25;1989;2258391
25;1990;2296684
25;1991;2309701
25;1992;2314531
25;1993;2302779
25;1994;2284070
25;1995;2266303
25;1996;2241793
25;1997;2217109
25;1998;2191952
25;1999;2167274
25;2000;2141025
25;2001;2120467
25;2002;2085743
25;2003;2067342
25;2004;2048582
25;2005;2028377
25;2006;2006536
25;2007;1988580
25;2008;1977392
25;2009;1969602
25;2010;1965178
25;2011;1953545
25;2012;1950483
25;2013;1947263
25;2014;1938516
25;2015;1933308
25;2016;1929008
25;2017;1923116
25;2018;1913037
25;2019;1902718
26;1926;1517000
26;1959;1604952
26;1970;1961129
26;1979;2170876
26;1989;2439628
26;1990;2435834
26;1991;2477730
26;1992;2522703
26;1993;2575440
26;1994;2619617
26;1995;2663817
26;1996;2690808
26;1997;2706028
26;1998;2721854
26;1999;2735469
26;2000;2740927
26;2001;2740899
26;2002;2736173
26;2003;2732502
26;2004;2739065
26;2005;2741116
26;2006;2746873
26;2007;2747079
26;2008;2759676
26;2009;2767618
26;2010;2777696
26;2011;2785524
26;2012;2787030
26;2013;2790785
26;2014;2794508
26;2015;2799473
26;2016;2801597
26;2017;2804383
26;2018;2800674
26;2019;2795243
27;1926;147000
27;1959;979679
27;1970;1173458
27;1979;1375752
27;1989;1608569
27;1990;1619663
27;1991;1624704
27;1992;1624416
27;1993;1607662
27;1994;1591454
27;1995;1566602
27;1996;1543701
27;1997;1525062
27;1998;1509513
27;1999;1493881
27;2000;1473876
27;2001;1459908
27;2002;1446177
27;2003;1434242
27;2004;1416224
27;2005;1396800
27;2006;1376260
27;2007;1359894
27;2008;1354848
27;2009;1351123
27;2010;1349230
27;2011;1342887
27;2012;1342475
27;2013;1342083
27;2014;1339912
27;2015;1338305
27;2016;1334552
27;2017;1333294
27;2018;1328302
27;2019;1321473
28;1926;414000
28;1959;717514
28;1970;793449
28;1979;937389
28;1989;1057781
28;1990;1055337
28;1991;1054267
28;1992;1048649
28;1993;1029516
28;1994;1018407
28;1995;995012
28;1996;986417
28;1997;974942
28;1998;962023
28;1999;949526
28;2000;935607
28;2001;923055
28;2002;911381
28;2003;901044
28;2004;887781
28;2005;874018
28;2006;861056
28;2007;850502
28;2008;844290
28;2009;838869
28;2010;834905
28;2011;828660
28;2012;821573
28;2013;816910
28;2014;811274
28;2015;809873
28;2016;805689
28;2017;801752
28;2018;798424
28;2019;793194
29;1926;847000
29;1959;1230305
29;1970;1362170
29;1979;1420068
29;1989;1515416
29;1990;1523509
29;1991;1517293
29;1992;1504339
29;1993;1489573
29;1994;1471475
29;1995;1453656
29;1996;1432697
29;1997;1412345
29;1998;1392100
29;1999;1372631
29;2000;1349160
29;2001;1328187
29;2002;1309552
29;2003;1290956
29;2004;1273668
29;2005;1257312
29;2006;1239924
29;2007;1224813
29;2008;1215264
29;2009;1204347
29;2010;1195378
29;2011;1182776
29;2012;1171096
29;2013;1159506
29;2014;1148760
29;2015;1139950
29;2016;1130240
29;2017;1121813
29;2018;1111031
29;2019;1100290
30;1926;615000
30;1959;701974
30;1970;867483
30;1979;915548
30;1989;998114
30;1990;997516
30;1991;1001044
30;1992;1003253
30;1993;1004737
30;1994;1006099
30;1995;1014170
30;1996;1019171
30;1997;1020576
30;1998;1019880
30;1999;1016372
30;2000;1012385
30;2001;1009281
30;2002;1005510
30;2003;1004780
30;2004;1006073
30;2005;1006467
30;2006;1002517
30;2007;1001300
30;2008;1005897
30;2009;1009926
30;2010;1011120
30;2011;1009801
30;2012;1014972
30;2013;1013840
30;2014;1016516
30;2015;1021287
30;2016;1018626
30;2017;1018866
30;2018;1017514
30;2019;1014065
31;1926;1677000
31;1959;1226328
31;1970;1261140
31;1979;1304675
31;1989;1380723
31;1990;1387455
31;1991;1397986
31;1992;1404959
31;1993;1419743
31;1994;1434551
31;1995;1454923
31;1996;1467562
31;1997;1478580
31;1998;1485855
31;1999;1494868
31;2000;1501699
31;2001;1506976
31;2002;1508137
31;2003;1511899
31;2004;1513860
31;2005;1511662
31;2006;1511715
31;2007;1514153
31;2008;1520102
31;2009;1526258
31;2010;1531781
31;2011;1532353
31;2012;1536073
31;2013;1540985
31;2014;1544108
31;2015;1547936
31;2016;1550137
31;2017;1552865
31;2018;1549876
31;2019;1547418
32;1926;1709000
32;1959;1549945
32;1970;1581950
32;1979;1506850
32;1989;1474785
32;1990;1470953
32;1991;1457987
32;1992;1456025
32;1993;1460144
32;1994;1462308
32;1995;1469251
32;1996;1466792
32;1997;1459181
32;1998;1448275
32;1999;1437471
32;2000;1423178
32;2001;1407965
32;2002;1391430
32;2003;1375004
32;2004;1360249
32;2005;1344132
32;2006;1327652
32;2007;1312748
32;2008;1303343
32;2009;1294251
32;2010;1286540
32;2011;1275354
32;2012;1264416
32;2013;1253666
32;2014;1242599
32;2015;1232940
32;2016;1225741
32;2017;1220530
32;2018;1210982
32;2019;1200187
33;1926;1211000
33;1959;1402910
33;1970;1510913
33;1979;1580382
33;1989;1653938
33;1990;1657068
33;1991;1654489
33;1992;1647701
33;1993;1642469
33;1994;1634028
33;1995;1630514
33;1996;1623677
33;1997;1612692
33;1998;1602911
33;1999;1592184
33;2000;1575507
33;2001;1558052
33;2002;1539179
33;2003;1520057
33;2004;1509571
33;2005;1497598
33;2006;1486453
33;2007;1475861
33;2008;1466743
33;2009;1457937
33;2010;1449773
33;2011;1441129
33;2012;1431932
33;2013;1421742
33;2014;1413321
33;2015;1405613
33;2016;1397168
33;2017;1389599
33;2018;1378337
33;2019;1365805
34;1926;1724000
34;1959;1853928
34;1970;2322910
34;1979;2475245
34;1989;2593944
34;1990;2620147
34;1991;2641862
34;1992;2656164
34;1993;2676779
34;1994;2693887
34;1995;2717867
34;1996;2738015
34;1997;2746454
34;1998;2751385
34;1999;2750443
34;2000;2738531
34;2001;2725433
34;2002;2709610
34;2003;2694232
34;2004;2672392
34;2005;2656212
34;2006;2640392
34;2007;2629959
34;2008;2623128
34;2009;2618062
34;2010;2614165
34;2011;2607505
34;2012;2594825
34;2013;2583002
34;2014;2569126
34;2015;2557397
34;2016;2545937
34;2017;2535202
34;2018;2521276
34;2019;2507509
35;1926;1728000
35;1959;1307531
35;1970;1295897
35;1979;1309799
35;1989;1353870
35;1990;1354471
35;1991;1353799
35;1992;1353220
35;1993;1351869
35;1994;1348063
35;1995;1339926
35;1996;1332505
35;1997;1324722
35;1998;1317144
35;1999;1309832
35;2000;1299611
35;2001;1290370
35;2002;1278543
35;2003;1266848
35;2004;1255924
35;2005;1245769
35;2006;1234940
35;2007;1225780
35;2008;1219775
35;2009;1214135
35;2010;1208364
35;2011;1201190
35;2012;1198546
35;2013;1196196
35;2014;1193371
35;2015;1191010
35;2016;1187685
35;2017;1183860
35;2018;1176689
35;2019;1167713
36;1926;2525000
36;1959;2368695
36;1970;2526928
36;1979;2478544
36;1989;2469766
36;1990;2471569
36;1991;2469031
36;1992;2467384
36;1993;2478686
36;1994;2488228
36;1995;2494979
36;1996;2490675
36;1997;2484790
36;1998;2470308
36;1999;2458558
36;2000;2441337
36;2001;2422371
36;2002;2397111
36;2003;2374461
36;2004;2367457
36;2005;2364932
36;2006;2360912
36;2007;2353805
36;2008;2344413
36;2009;2338997
36;2010;2334895
36;2011;2334809
36;2012;2331506
36;2013;2330377
36;2014;2328959
36;2015;2331147
36;2016;2333477
36;2017;2335408
36;2018;2333768
36;2019;2327821
37;1926;1064000
37;1959;1322152
37;1970;1339110
37;1979;1320968
37;1989;1317117
37;1990;1295215
37;1991;1292642
37;1992;1285299
37;1993;1279087
37;1994;1269218
37;1995;1260347
37;1996;1248793
37;1997;1235701
37;1998;1222691
37;1999;1210603
37;2000;1194595
37;2001;1178969
37;2002;1161861
37;2003;1144540
37;2004;1131027
37;2005;1116739
37;2006;1101862
37;2007;1089837
37;2008;1081112
37;2009;1074309
37;2010;1067788
37;2011;1060109
37;2012;1054040
37;2013;1048961
37;2014;1043130
37;2015;1036909
37;2016;1029838
37;2017;1023170
37;2018;1014646
37;2019;1004180
38;1926;861000
