reg_ID;reg_alias_the_constitutional_name;reg_alias_human_name;reg_alias_okato;reg_alias_iso_code;reg_alias_tableau;reg_alias_datawrapper;reg_alias_datwrapper_square;reg_tile_column;reg_tile_row;reg_alias_short_2letters;reg_alias_short_3letters;reg_fo;reg_mask;reg_antimask;reg_alias_rosbris_ID;reg_alias_duckconsulting;reg_alias_fedstat;reg_alias_fias_name;reg_alias_fias_id;reg_alias_rossstat_order;reg_level;reg_type;reg_status;reg_alias_citytable
2;Республика Башкортостан;Республика Башкортостан;80000000000;RU-BA;Bashkortostan;Республика Башкортостан;Башкортостан;8;5;БШ;БАШ;ПФО;Башк;-;1180;Башкортостан;        80000000000 Республика Башкортостан;Башкортостан Республика;2;52;2;Регион;Республика;Башкортостан
3;Республика Бурятия;Республика Бурятия;81000000000;RU-BU;Buryatiya Republic;Республика Бурятия;Бурятия;13;4;БУ;БУР;ДФО;Бурят;-;1181;Бурятия;        81000000000 Республика Бурятия;Бурятия Республика;3;86;2;Регион;Республика;Бурятия
5;Республика Дагестан;Республика Дагестан;82000000000;RU-DA;Dagestan;Республика Дагестан;Дагестан;6;9;ДГ;ДАГ;СКФО;Даг;-;1182;Дагестан;        82000000000 Республика Дагестан;Дагестан Республика;5;44;2;Регион;Республика;Дагестан
6;Республика Ингушетия;Республика Ингушетия;26000000000;RU-IN;Ingushetia;Республика Ингушетия;Ингушетия;5;10;ИН;ИНГ;СКФО;Ингу;-;1126;Ингушетия;        26000000000 Республика Ингушетия*;Ингушетия Республика;6;45;2;Регион;Республика;Ингушетия
8;Республика Калмыкия;Республика Калмыкия;85000000000;RU-KL;Kalmyk;Республика Калмыкия;Калмыкия;5;8;КК;КЛМ;ЮФО;Калм;-;1185;Калмыкия;        85000000000 Республика Калмыкия;Калмыкия Республика;8;36;2;Регион;Республика;Калмыкия
10;Республика Карелия;Республика Карелия;86000000000;RU-KR;Karelia;Республика Карелия;Карелия;2;1;КА;КРЛ;СЗФО;Каре;-;1186;Карелия;        86000000000 Республика Карелия;Карелия Республика;10;22;2;Регион;Республика;Карелия
11;Республика Коми;Республика Коми;87000000000;RU-KO;Komi;Республика Коми;Коми;8;2;КО;КОМ;СЗФО;Коми;-;1187;Республика Коми;        87000000000 Республика Коми;Коми Республика;11;23;2;Регион;Республика;Коми
82;Республика Крым;Республика Крым;35000000000;UA-43;-;Республика Крым;Крым;1;8;КР;КРМ;ЮФО;Крым;-;1135;Крым;        35000000000 Республика Крым;Крым Республика;91;37;2;Регион;Республика;Крым
12;Республика Марий Эл;Республика Марий Эл;88000000000;RU-ME;Mariy-El;Республика Марий Эл;Марий Эл;6;3;МЭ;М-Э;ПФО;Мар;-;1188;Марий Эл;        88000000000 Республика Марий Эл;Марий Эл Республика;12;53;2;Регион;Республика;Марий Эл
13;Республика Мордовия;Республика Мордовия;89000000000;RU-MO;Mordovia;Республика Мордовия;Мордовия;5;5;МД;МРД;ПФО;Морд;-;1189;Мордовия;        89000000000 Республика Мордовия;Мордовия Республика;13;54;2;Регион;Республика;Мордовия
14;Республика Саха (Якутия);Республика Саха (Якутия);98000000000;RU-SA;Sakha Republic;Республика Саха (Якутия);Саха — Якутия;14;2;ЯК;ЯКУ;ДФО;саха;-;1198;Якутия;        98000000000 Республика Саха (Якутия);Саха /Якутия/ Республика;14;87;2;Регион;Республика;Саха /Якутия/
